identifier, premises_name, premises_number, premises_category, application_date, psu_registration_number, supervising_pharmacist, district, region, street_or_road
500, Fort Pharmaceuticals Ltd, NDA/PRE/RTP/1073, Retail Pharmacy, 17/10/2017, 408, MARTIN BAKESIGA, Fort Portal, Western Region - Hoima, Lugard Road
501, FORT PHARMACEUTICALS LTD, NDA/PRE/WHP/1074, Wholesale Pharmacy, 02/01/2018, 408, MARTIN BAKESIGA, Fort Portal, Western Region - Hoima, LUGARD ROAD
502, Fortress Pharmacy Ltd, NDA/PRE/RTP/2254, Retail Pharmacy, 29/03/2018, 1213, PETER LUBEGA, WAKISO, Central Region - Nakawa, KAKIIRI TOWN
503, Fortune Pharmacy, NDA/PRE/RTP/2118, Retail Pharmacy, 09/02/2018, 1016, Rogers Bbosa, Mukono, South Eastern Region - Jinja, Namugongo Rd
504, Fox-Ridge Pharmacy -Naalya, NDA/PRE/RTP/2025, Retail Pharmacy, 19/01/2018, 787, Kivila Stella, WAKISO, Central Region - Nakawa, Namugongo Rd
505, FRAGINA PHARMACY LIMITED, NDA/PRE/RTP/1767, Retail Pharmacy, 19/10/2017, 1076, Nakabuye Hilda, MUBENDE, Western Region - Hoima, Trading Centre
506, FRANKIA PHARMACY, NDA/PRE/WHP/1242, Wholesale Pharmacy, 19/01/2018, 851A, OMONGOLE OMONGOLE, KUMI, Eastern Region - Tororo, NGORA ROAD
507, Fratin Pharmaceuticals Ltd, NDA/PRE/RTP/0375, Retail Pharmacy, 14/11/2017, 754, Nabaweesi Sylvia, KAMPALA, Central Region - Nakawa, Kalinaabiri Rd
508, Freight In-time (U) Ltd, NDA/PRE/WHP/1649, Wholesale Pharmacy, 13/11/2017, 1009, Nicholas Ssemujju, KAMPALA, Central Region - Nakawa, Old Portbell Rd
509, FREIGHT IN-TIME LTD, NDA/PRE/EXT/2491, External Store, 13/12/2017, 1009, Nicholas Ssemujju, KAMPALA, Central Region - Nakawa, PORTBELL ROAD
510, FRESH CARE PHARMACEUTICALS, NDA/PRE/RTP/2055, Retail Pharmacy, 08/12/2017, 823, FRANK MUHUMUZA, Ibanda, South Western Region - Mbarara, Main Street
511, Friecca Pharmacy Ltd, NDA/PRE/RTP/0366, Retail Pharmacy, 20/04/2018, 324, Muhumuza Crescent, KAMPALA, Central Region - Nakawa, Bombo Rd
512, Frossa Pharmaceuticals (U) Ltd, NDA/PRE/RTP/1863, Retail Pharmacy, 05/12/2017, 281, Ssebisubi Musoke, KAMPALA, Central Region - Nakawa, Nakulabye T.C
513, GABA PHARMACY LTD, NDA/PRE/RTP/2522, Retail Pharmacy, 03/11/2017, 657, JULIET KITUTU, KAMPALA, Central Region - Nakawa, MARKET STAGE
514, GABA VET PHARMACY LTD, NDA/PRE/WHP/0718, Wholesale Pharmacy, 27/10/2017, 786, GERALD MUSINGUZI, Ntungamo, South Western Region - Mbarara, OLD MBARARA-KABALE ROAD
515, Galen Holdings Ltd (Pharmacy), NDA/PRE/RTP/0531, Retail Pharmacy, 29/11/2017, 601, Walusimbi Dennis, KAMPALA, Central Region - Nakawa, Old Mulago Rd
516, Gallop Pharmacy Ltd, NDA/PRE/RTP/0972, Retail Pharmacy, 22/01/2018, 615, Jerome Owagage, KAMPALA, Central Region - Nakawa, Makindye
517, GAMA PHARMACEUTICALS (U) LIMITED, NDA/PRE/WHP/0242, Wholesale Pharmacy, 13/10/2017, 863, Wasswa Robert, KAMPALA, Central Region - Nakawa, Church Rd
518, Garnet Pharmacy, NDA/PRE/RTP/0379, Retail Pharmacy, 04/05/2018, 1262, LEE TOWETT, WAKISO, Central Region - Nakawa, NALYA RD
519, Garrison Pharmacy - Ggaba, NDA/PRE/RTP/1774, Retail Pharmacy, 24/10/2017, 742, STELLA NAKAKANDE, KAMPALA, Central Region - Nakawa, Ggaba Rd
520, GARRISON PHARMACY LIMITED, NDA/PRE/RTP/3406, Retail Pharmacy, 13/04/2018, 1213, PETER LUBEGA, BUTAMBALA, Central Region - Nakawa, TRADING CENTRE
521, Garrison Pharmacy Ltd, NDA/PRE/RTP/1937, Retail Pharmacy, 24/10/2017, 1189, Christine Ojul, Gulu, Northern Region - Lira, Juba Rd
522, GARUGA PHARMACY, NDA/PRE/RTP/3589, Retail Pharmacy, 16/07/2018, 1291, Janet Nalwoga, WAKISO, Central Region - Nakawa, Garuga Racing Village
523, GAS TECH SOLUTIONS AND ALLIED PRODUCTS LIMITED, NDA/PRE/MDV/3592, Medical Devices, 17/07/2018, 12857, Gerald Mangwa, WAKISO, Central Region - Nakawa, Brooklyn Avenue Bwoyogerere
524, GASO MULTIPLE COMPANY LTD, NDA/PRE/RTP/2647, Retail Pharmacy, 07/11/2017, 861, Amin Karima, KAMPALA, Central Region - Nakawa, WAKALIGA ROAD
525, Gasopharm Company Ltd, NDA/PRE/RTP/0808, Retail Pharmacy, 08/11/2017, 664, Abdul Ghaffar, KAMPALA, Central Region - Nakawa, Salaama Rd
526, Gasto Pharmaceuticals Ltd, NDA/PRE/RTP/0403, Retail Pharmacy, 06/08/2018, 1285, MAGONA WANYENZE, KAMPALA, Central Region - Nakawa, Nabweru Road
527, GAYATRI CHEMISTS PHARMACY, NDA/PRE/WHP/1116, Wholesale Pharmacy, 28/11/2017, 535, SUSAN NANTALE, Jinja, South Eastern Region - Jinja, Scindia Road
528, Gayatri Pharmacy, NDA/PRE/WHP/1118, Wholesale Pharmacy, 12/12/2017, 544, FLORENCE NAMUGERE, Jinja, South Eastern Region - Jinja, Scindia Rd
529, General Top Care Pharmacy, NDA/PRE/WHP/1652, Wholesale Pharmacy, 15/11/2017, 944, Lule Hassan, WAKISO, Central Region - Nakawa, Masaka Rd
530, Genesis Pharmaceuticals Ltd - Luzira, NDA/PRE/RTP/0377, Retail Pharmacy, 05/12/2017, 1000, Francis Kidega, KAMPALA, Central Region - Nakawa, Portbell Rd
531, Genesis Pharmacy, NDA/PRE/RTP/0784, Retail Pharmacy, 13/07/2018, 1302, TIMOTHY WAMUKOTA, KAMPALA, Central Region - Nakawa, TRADING CENTRE
532, Genesis Pharmacy Kyebando, NDA/PRE/RTP/0783, Retail Pharmacy, 08/06/2018, 1159, TWAHA MUWANGA, KAMPALA, Central Region - Nakawa, Gayaza Rd
533, Genesis Pharmacy-Entebbe Rd, NDA/PRE/RTP/1619, Retail Pharmacy, 30/04/2018, 1262, LEE TOWETT, KAMPALA, Central Region - Nakawa, Entebbe Rd
534, Genix Pharmaceuticals, NDA/PRE/WHP/2922, Wholesale Pharmacy, 31/10/2017, 1164, NICHOLAS MUHIMBURA, Kiruhura, South Western Region - Mbarara, Ibanda road
535, GENOME SCIENTIFICS LIMITED, NDA/PRE/MDV/3385, Medical Devices, 10/04/2018, 12025, STEPHEN KIMERA, KAMPALA, Central Region - Nakawa, PARLIAMENTARY AVENUE
536, Gentle Care Pharmacy, NDA/PRE/RTP/0157, Retail Pharmacy, 09/11/2017, 1141, BRIDGE MWESIGWA, WAKISO, Central Region - Nakawa, Najjera 1
537, GETOM PHARMACY LTD, NDA/PRE/RTP/1071, Retail Pharmacy, 21/11/2017, 858, KULUSUM NAIGAGA, Jinja, South Eastern Region - Jinja, Gokhale Road
538, GIANT PHARMACY, NDA/PRE/RTP/2563, Retail Pharmacy, 16/10/2017, 1136, MUGWERI PHILLY, WAKISO, Central Region - Nakawa, SALAMA ROAD
539, Gibmak Pharmacy Ltd-Human, NDA/PRE/RTP/1739, Retail Pharmacy, 28/12/2017, 1014, Henry Suubi, KAMPALA, Central Region - Nakawa, Kira Rd
540, Gibmak Pharmacy Ltd-Vet, NDA/PRE/RTP/1824, Retail Pharmacy, 24/05/2018, 1139, RODGERS MULONDO, KAMPALA, Central Region - Nakawa, Kira Rd
541, GILEAD PHARMACY, NDA/PRE/RTP/1089, Retail Pharmacy, 20/12/2017, 363, Richards Kwasa, MBALE, Eastern Region - Tororo, Republic Street
542, GILEAD PHARMACY, NDA/PRE/RTP/1115, Retail Pharmacy, 26/02/2018, 647, Ronald Bisaso, Jinja, South Eastern Region - Jinja, Nizam Rd
543, GILEAD PHARMACY - GATEWAY BRANCH, NDA/PRE/RTP/1027, Retail Pharmacy, 20/11/2017, 961, Fiona Mukasa, Jinja, South Eastern Region - Jinja, Clive Road
544, Ginko Pharmacy Ltd, NDA/PRE/RTP/1698, Retail Pharmacy, 30/11/2017, 976, GRACE NAIKAZI, KAMPALA, Central Region - Nakawa, Opp.East High S.S
545, GISE PHARMACY, NDA/PRE/RTP/1614, Retail Pharmacy, 04/01/2018, 996, IMMACULATE AKASO, KAMPALA, Central Region - Nakawa, Salaama Rd
546, GITTOES PHARMACEUTICALS, NDA/PRE/EXT/2603, External Store, 22/11/2017, 499, ERIC NABUGUZI, KAMPALA, Central Region - Nakawa, WILLIAM STREET
547, GITTOES PHARMACEUTICALS LIMITED, NDA/PRE/WHP/0468, Wholesale Pharmacy, 25/04/2018, 686, UMAR KAGOMBE, KAMPALA, Central Region - Nakawa, Old port bell Rd
548, GITTOES PHARMACEUTICALS LTD, NDA/PRE/EXT/3078, External Store, 23/01/2018, 499, ERIC NABUGUZI, KAMPALA, Central Region - Nakawa, WILLIAM STREET
549, GITTOES PHARMACEUTICALS LTD, NDA/PRE/RTP/1308, Retail Pharmacy, 05/04/2018, 1209, NICHOLAS KANYIKE, Arua, West Nile Region - Arua, Avenue Road
550, Gittoes Pharmaceuticals Ltd, NDA/PRE/WHP/0265, Wholesale Pharmacy, 11/11/2017, 839, ABODA KOMAKECH, Lira, Northern Region - Lira, Olwol Rd
551, GITTOES PHARMACEUTICALS LTD, NDA/PRE/WHP/0419, Wholesale Pharmacy, 08/12/2017, 499, ERIC NABUGUZI, KAMPALA, Central Region - Nakawa, Wilson Road
552, Gittoes Pharmaceuticals Ltd, NDA/PRE/WHP/0451, Wholesale Pharmacy, 11/11/2017, 499, ERIC NABUGUZI, KAMPALA, Central Region - Nakawa, William Street
553, GITTOES PHARMACEUTICALS LTD, NDA/PRE/WHP/1045, Wholesale Pharmacy, 21/11/2017, 745, BELINDA OKUMU-RINGA, Jinja, South Eastern Region - Jinja, Main Street
554, GITTOES PHARMACEUTICALS LTD, NDA/PRE/WHP/1309, Wholesale Pharmacy, 11/11/2017, 505, STEPHEN KADDE, Arua, West Nile Region - Arua, Avenue Road
555, GITTOES PHARMACEUTICALS LTD - William Street, NDA/PRE/WHP/1389, Wholesale Pharmacy, 15/01/2018, 255, AZIZ DAMANI, KAMPALA, Central Region - Nakawa, William street
556, GITTOES PHARMACEUTICALS LTD MBALE, NDA/PRE/RTP/1232, Retail Pharmacy, 04/04/2018, 1203, IDRINE KALINGE, MBALE, Eastern Region - Tororo, PALLISA ROAD - MUNCIPALITY
557, GITTOES PHARMACEUTICALS LTD MBALE, NDA/PRE/WHP/1267, Wholesale Pharmacy, 11/11/2017, 647, Ronald Bisaso, MBALE, Eastern Region - Tororo, PALLISA ROAD
558, GITTOES PHARMACEUTICALS LTD-MBARARA, NDA/PRE/WHP/0747, Wholesale Pharmacy, 11/01/2018, 883, JOSEPH KIBIRIGE, Mbarara, South Western Region - Mbarara, High Strt
559, GLO - WANDER PHARMACY, NDA/PRE/RTP/1303, Retail Pharmacy, 12/04/2018, 1194, CEASER KACHOPE, Arua, West Nile Region - Arua, Taban Lane
560, GLOBAL SCIENTIFIC SUPPLIES LIMITED, NDA/PRE/MDV/2228, Medical Devices, 10/04/2018, 146347, Moses Kiggundu, KAMPALA, Central Region - Nakawa, KIWAFU CRESCENT ROAD
561, GLOBAL VET (U) LIMITED, NDA/PRE/WHP/1823, Wholesale Pharmacy, 28/11/2017, 701, Walter Arinaitwe, KAMPALA, Central Region - Nakawa, Nakivubo Place
562, Global Vet (U) Ltd, NDA/PRE/RTP/1458, Retail Pharmacy, 28/11/2017, 701, Walter Arinaitwe, KAMPALA, Central Region - Nakawa, Nakivubo Place
563, GLOBAL VET (U) LTD-MBARARA, NDA/PRE/RTP/1906, Retail Pharmacy, 08/12/2017, 823, FRANK MUHUMUZA, Mbarara, South Western Region - Mbarara, HIGH STREET
564, Gloria Pharmacy Ltd, NDA/PRE/RTP/1158, Retail Pharmacy, 17/11/2017, 479b, Margaret Abigaba, Hoima, Western Region - Hoima, Fort portal Rd
565, GLORY PHARMACY, NDA/PRE/RTP/2537, Retail Pharmacy, 27/04/2018, 1186, ISAAC CHERUKUT, MBALE, Eastern Region - Tororo, BUS PARK
566, GLO-WANDER PHARMACY, NDA/PRE/WHP/1302, Wholesale Pharmacy, 14/11/2017, 663, Harriet Akello, Arua, West Nile Region - Arua, TABAN LANE - NEW TAXI PARK
567, Glynn Pharmacy Limited, NDA/PRE/WHP/2653, Wholesale Pharmacy, 12/12/2017, 1154, Fred Tabu, Kamuli, South Eastern Region - Jinja, Saza Road
568, GM PHARMACY LTD, NDA/PRE/RTP/0155, Retail Pharmacy, 13/11/2017, 882, Allan Kengo, KAMPALA, Central Region - Nakawa, Portbell Rd
569, Go Pharmacy Ltd, NDA/PRE/RTP/0883, Retail Pharmacy, 04/12/2017, 901, PHIONA NABAGGALA, Jinja, South Eastern Region - Jinja, Main Street
570, Goalman Pharmacy - Human- Gweri Road, NDA/PRE/RTP/2048, Retail Pharmacy, 19/01/2018, 851, Omongole .O., SOROTI, Eastern Region - Tororo, GWERI ROAD
571, GOALMAN PHARMACY - Kumi (Human), NDA/PRE/RTP/1812, Retail Pharmacy, 14/11/2017, 757, JOHN OBORE, KUMI, Eastern Region - Tororo, ONGINO ROAD -
572, Goalman Pharmacy - Moroto Rd, NDA/PRE/RTP/2040, Retail Pharmacy, 24/11/2017, 1032, RONALD OKELLO, SOROTI, Eastern Region - Tororo, Moroto
573, Goalman Pharmacy Ltd, NDA/PRE/RTP/1745, Retail Pharmacy, 31/05/2018, 1200, PRISCILLA KASEMBO, KAMPALA, Central Region - Nakawa, Namirembe Rd
574, GOD'S CARE ROYAL PHARMACY LIMITED, NDA/PRE/RTP/3527, Retail Pharmacy, 12/06/2018, 987, JIMMY OKELLO, Kitgum, Northern Region - Lira, Market street
575, GOD'S MERCIES PHARMACY LTD, NDA/PRE/WHP/2230, Wholesale Pharmacy, 07/11/2017, 951, Merab Babirye, Mayuge, South Eastern Region - Jinja, Musita Rd
576, GOD'S WAY PHARMACY KIBAALE LTD, NDA/PRE/RTP/3492, Retail Pharmacy, 24/05/2018, 1232, MIRIA KISAKYE, Kibaale, Western Region - Hoima, KIRIGWAIJO STREET
577, GOD'S WILL PHARMACY LTD, NDA/PRE/RTP/2721, Retail Pharmacy, 02/11/2017, 1120, ASHIRAF KAKOOZA, Kiryandongo, Western Region - Hoima, TOWN COUNCIL
578, Golden Care Pharmacy, NDA/PRE/RTP/1520, Retail Pharmacy, 19/09/2018, 1221, PHIONA BASABA, WAKISO, Central Region - Nakawa, Corner House
579, Good Care Pharmacy Ltd, NDA/PRE/RTP/0984, Retail Pharmacy, 27/11/2017, 1093, NICHOLAS MUTUMBA, WAKISO, Central Region - Nakawa, JINJA ROAD
580, Good Day Pharmacy, NDA/PRE/EXT/2568, External Store, 16/11/2017, 671, KASAMI LUKE, KAMPALA, Central Region - Nakawa, Ben Kiwanuka Street
581, Good Day Pharmacy, NDA/PRE/RTP/1372, Retail Pharmacy, 21/05/2018, 882, ALLAN KENGO, KAMPALA, Central Region - Nakawa, William Street
582, GOOD DAY PHARMACY LIMITED, NDA/PRE/WHP/0118, Wholesale Pharmacy, 11/10/2017, 671, LUKE KASAMI, KAMPALA, Central Region - Nakawa, William Street
583, Goodlife Health Management, NDA/PRE/RTP/0753, Retail Pharmacy, 23/11/2017, 783, Sarah Ameso, KAMPALA, Central Region - Nakawa, Acacia Avenue
584, Goodlife Pharmacy, NDA/PRE/RTP/2370, Retail Pharmacy, 04/06/2018, 1149, PATRICK BABONA, KAMPALA, Central Region - Nakawa, Opp City Oil Bakuli
585, Goodman International Ltd, NDA/PRE/EXT/2360, External Store, 22/12/2017, 294, GIDEON MUSOKE, KAMPALA, Central Region - Nakawa, Mulago Kaffero Zone Rd
586, GOODMAN INTERNATIONAL LTD, NDA/PRE/WHP/1457, Wholesale Pharmacy, 16/12/2017, 294, GIDEON MUSOKE, KAMPALA, Central Region - Nakawa, Nakasero Rd
587, GOODMAN INTERNATIONAL LTD - VET, NDA/PRE/WHP/1771, Wholesale Pharmacy, 22/10/2018, 1228, FLORENCE  NABIRYE, KAMPALA, Central Region - Nakawa, NAKASERO ROAD
588, GOREALS PHARMACEUTICALS LTD, NDA/PRE/RTP/0192, Retail Pharmacy, 05/02/2018, 476, GILDO OKURE, KAMPALA, Central Region - Nakawa, HOIMA ROAD
589, Gosape Developments Ltd, NDA/PRE/RTP/0259, Retail Pharmacy, 17/10/2018, 274, SEMATIKO KATENDE, KAMPALA, Central Region - Nakawa, Shoping Grounds, Kafumbe Mukasa Rd
590, GOT ZION, NDA/PRE/RTP/2705, Retail Pharmacy, 20/12/2017, 1189, Christine Ojul, OMORO, Northern Region - Lira, OPPOSITE DISTRICT HEAD QUARTERS
591, GRACE CHEMISTS PHARMACY, NDA/PRE/RTP/3069, Retail Pharmacy, 03/01/2018, 1085, Deo Ssewankambo, KAMPALA, Central Region - Nakawa, TANK HILL ROAD
592, Green Plus Pharmaceuticals, NDA/PRE/WHP/0176, Wholesale Pharmacy, 27/04/2018, 1241, AMOS NDAABE, Gulu, Northern Region - Lira, Queens Avenue
593, Green Plus Pharmaceuticals Ltd, NDA/PRE/RTP/0177, Retail Pharmacy, 27/04/2018, 1241, AMOS NDAABE, Gulu, Northern Region - Lira, Queens Avenue
594, GREEN"S PHARMACY, NDA/PRE/RTP/1337, Retail Pharmacy, 23/04/2018, 222, CHRYSOSTOM KISITU, Jinja, South Eastern Region - Jinja, Main Street
595, Grogen Pharmaceuticals Limited, NDA/PRE/RTP/0290, Retail Pharmacy, 05/01/2018, 453, Kiiza Charles, KAMPALA, Central Region - Nakawa, Musajja Alumba Road
596, Grogen Pharmaceuticals Ltd, NDA/PRE/RTP/0292, Retail Pharmacy, 05/12/2017, 453, Kiiza Charles, KAMPALA, Central Region - Nakawa, Kabaka Njagala Road
597, GUARDIAN HEALTH LIMITED, NDA/PRE/RTP/0794, Retail Pharmacy, 16/01/2018, 572, Natif Anthony, KAMPALA, Central Region - Nakawa, Muyenga Road, 
598, GUARDIAN HEALTH LIMITED, NDA/PRE/RTP/1333, Retail Pharmacy, 16/01/2018, 968, Afaani Lwegaba, KAMPALA, Central Region - Nakawa, COOPER ROAD
599, GUARDIAN HEALTH LIMITED, NDA/PRE/RTP/3630, Retail Pharmacy, 06/09/2018, 1198, NORMAN KAMUGIRA, KAMPALA, Central Region - Nakawa, MUNYONYO
600, GUARDIAN HEALTH LTD, NDA/PRE/RTP/2573, Retail Pharmacy, 02/01/2018, 777, DESIRE KANSIIME, KAMPALA, Central Region - Nakawa, GGABA ROAD
601, Guardian Health Pharmacy, NDA/PRE/RTP/0855, Retail Pharmacy, 16/01/2018, 572, Natif Anthony, KAMPALA, Central Region - Nakawa, Ggaba Rd
602, Guardian Health Pharmacy, NDA/PRE/RTP/2486, Retail Pharmacy, 18/01/2018, 642, REWARD YIKII, KAMPALA, Central Region - Nakawa, Ntinda
603, GUARDIAN HEALTH PHARMACY LTD, NDA/PRE/RTP/2913, Retail Pharmacy, 15/01/2018, 777, DESIRE KANSIIME, KAMPALA, Central Region - Nakawa, KITINTALE
604, Gulf East Africa Pharmaceuticals Ltd, NDA/PRE/WHP/2015, Wholesale Pharmacy, 15/11/2017, 1055, Nicholas Tumuhimbise, KAMPALA, Central Region - Nakawa, Kabuusu-Rubaga
605, Gulu Pharmacy (U) Ltd, NDA/PRE/RTP/0165, Retail Pharmacy, 27/11/2017, 817, MATHIAS MAYANJA, Gulu, Northern Region - Lira, Olya Rd
606, Gulu Pharmacy (U) Ltd, NDA/PRE/WHP/0166, Wholesale Pharmacy, 27/11/2017, 817, MATHIAS MAYANJA, Gulu, Northern Region - Lira, Olya Rd
607, GURMART INVESTMENTS LIMITED, NDA/PRE/RTP/1449, Retail Pharmacy, 08/02/2018, 542, Banobere Mwigo, Jinja, South Eastern Region - Jinja, MAIN STREET
608, GURMART INVESTMENTS LIMITED, NDA/PRE/WHP/1448, Wholesale Pharmacy, 23/10/2017, 222, CHRYSOSTOM KISITU, Jinja, South Eastern Region - Jinja, MAIN STREET
609, HADAH PHARMACY LIMITED, NDA/PRE/RTP/0812, Retail Pharmacy, 28/02/2018, 531, STEVEN SSENDAGIRE, KAMPALA, Central Region - Nakawa, Mawanda Rd
610, HAG PHARMACEUTICALS LTD, NDA/PRE/RTP/1197, Retail Pharmacy, 07/06/2018, 1238, MAYI MAYEGA, KAMPALA, Central Region - Nakawa, Wankulukuku Rd
611, HANATA PHARMACY, NDA/PRE/RTP/1696, Retail Pharmacy, 20/11/2017, 1028, Muzamiru Mutumba, KAMPALA, Central Region - Nakawa, Bombo Rd
612, HANNAH PHARMACEUTICALS LTD, NDA/PRE/RTP/2089, Retail Pharmacy, 13/11/2017, 1083, Sandra Namunana, WAKISO, Central Region - Nakawa, Trading Centre
613, HAPPY PHARMACY LIMITED, NDA/PRE/RTP/2652, Retail Pharmacy, 26/04/2018, 1214, GODFREY LUSIBA, WAKISO, Central Region - Nakawa, MITYANA ROAD
614, HAPPY PILLS PHARMACY, NDA/PRE/RTP/1532, Retail Pharmacy, 30/11/2017, 1038, VIOLET NAMIWANDA, WAKISO, Central Region - Nakawa, NANSANA MUNICIPALITY
615, Haqq Pharmacy, NDA/PRE/RTP/0911, Retail Pharmacy, 10/01/2018, 582, Kawawa Rashid, KAMPALA, Central Region - Nakawa, Nateete Rd
616, HARLEYS UGANDA LIMITED, NDA/PRE/WHP/0455, Wholesale Pharmacy, 14/12/2017, 377, Egou David, KAMPALA, Central Region - Nakawa, Bombo Road
617, Harmony Pharmaceuticals, NDA/PRE/RTP/3733, Retail Pharmacy, 28/09/2018, 1236, RUTH NAMYALO, WAKISO, Central Region - Nakawa, Kiworogama - Kiira
618, HAS PHARMACEUTICALS (U) LIMITED, NDA/PRE/RTP/2372, Retail Pharmacy, 03/04/2018, 1167, HOPE NINSIIMA, KAMPALA, Central Region - Nakawa, PORT BELL ROAD, LUZIRA 
619, HASS SCIENTIFIC AND MEDICAL SUPPLIES LIMITED, NDA/PRE/MDV/2294, Medical Devices, 27/02/2018, 20226, Emmanuel Nduhura, KAMPALA, Central Region - Nakawa, Tank Hill Road Muyenga
620, Hawa Pharmacy - Entebbe, NDA/PRE/RTP/1848, Retail Pharmacy, 11/12/2017, 370, Samuel Balyejjusa, WAKISO, Central Region - Nakawa, Entebbe Rd
621, Hawa Pharmacy - Fort portal, NDA/PRE/RTP/1138, Retail Pharmacy, 15/01/2018, 308, ZAINA NDORA, Kabarole, Western Region - Hoima, Babiiha Rd
622, Hawa Pharmacy - Kitoro, NDA/PRE/RTP/0799, Retail Pharmacy, 07/12/2017, 735, EDITH NAMAKULA, WAKISO, Central Region - Nakawa, Kiwafu Rd
623, Hawa Pharmacy - Masindi, NDA/PRE/RTP/0005, Retail Pharmacy, 08/12/2017, 308, ZAINA NDORA, Masindi, Western Region - Hoima, COMMERCIAL STREET
624, HAYA PHARMACEUTICALS LTD, NDA/PRE/RTP/2429, Retail Pharmacy, 05/12/2017, 804, Allen Basiima, Mukono, South Eastern Region - Jinja, NAMIRYANGO ROAD
625, HEAAT PHARMACY UGANDA LIMITED, NDA/PRE/RTP/2562, Retail Pharmacy, 03/01/2018, 1153, OPIO BEN, KAMPALA, Central Region - Nakawa, MUNYONYO
626, Healing Touch Pharmacy Ltd, NDA/PRE/RTP/1951, Retail Pharmacy, 04/12/2017, 785, JACINTA OTINE, Gulu, Northern Region - Lira, Lukwiya Rd
627, HEALTH CARE INVESTMENT (U) LTD, NDA/PRE/WHP/2404, Wholesale Pharmacy, 15/03/2018, 854, REBECCA YATUKINGA, Kaliro, South Eastern Region - Jinja, KISIRA LANE
628, Health Care Ltd, NDA/PRE/RTP/0316, Retail Pharmacy, 21/12/2017, 867, Muhammad Sadiq, KAMPALA, Central Region - Nakawa, Kampala Rd
629, HEALTH CARE LTD, ARUA, NDA/PRE/WHP/1304, Wholesale Pharmacy, 27/12/2017, 512, DAVID KANKYA, Arua, West Nile Region - Arua, Adumi Rd
630, HEALTH CARE PHARMACY, NDA/PRE/RTP/2097, Retail Pharmacy, 21/12/2017, 620, RICHARD LUNYUTTA, Jinja, South Eastern Region - Jinja, SCINDIA ROAD
631, HEALTH CARE PHARMACY, NDA/PRE/WHP/1129, Wholesale Pharmacy, 21/12/2017, 620, RICHARD LUNYUTTA, Jinja, South Eastern Region - Jinja, SCINDIA RD
632, HEALTH CARE PHARMACY LTD, NDA/PRE/EXT/2412, External Store, 22/02/2018, 871, SHARON ATIM, MBALE, Eastern Region - Tororo, NABOA ROAD
633, Health Link Pharmacy (U) Ltd, NDA/PRE/RTP/0234, Retail Pharmacy, 22/12/2017, 1057, Philip Ampaire, KAMPALA, Central Region - Nakawa, Wilson Rd
634, Health Link Pharmacy (U) Ltd, NDA/PRE/WHP/0233, Wholesale Pharmacy, 14/12/2017, 614, Ismail Ssekandi, KAMPALA, Central Region - Nakawa, Wilson Rd
635, HEALTH LINK PHARMACY LTD, NDA/PRE/RTP/0713, Retail Pharmacy, 06/12/2017, 433, ROGERS MUGAMBWA, Mbarara, South Western Region - Mbarara, High Street
636, HEALTH LINK PHARMACY LTD, NDA/PRE/WHP/0714, Wholesale Pharmacy, 06/12/2017, 433, ROGERS MUGAMBWA, Mbarara, South Western Region - Mbarara, High Street
637, Health Plus (U) Ltd, NDA/PRE/RTP/0163, Retail Pharmacy, 22/11/2017, 879, GODFREY  KATONGOLE, Gulu, Northern Region - Lira, Awera Rd
638, Health Plus (U) Ltd, NDA/PRE/WHP/0164, Wholesale Pharmacy, 22/11/2017, 879, GODFREY  KATONGOLE, Gulu, Northern Region - Lira, Awere Rd
639, Health Plus Ltd, NDA/PRE/RTP/1602, Retail Pharmacy, 23/11/2017, 762, SHAMIM CAIRO, KAMPALA, Central Region - Nakawa, Namirembe Rd
640, HEALTH PLUS LTD, NDA/PRE/WHP/1277, Wholesale Pharmacy, 21/11/2017, 877, AMBROSE JAKIRA, Fort Portal, Western Region - Hoima, BABIIHA ROAD,
641, Health Plus Ltd, NDA/PRE/WHP/1605, Wholesale Pharmacy, 23/11/2017, 899, Ramathan Mutebi, KAMPALA, Central Region - Nakawa, Namirembe Rd
642, HEALTH TRUST LIMITED, NDA/PRE/WHP/2033, Wholesale Pharmacy, 30/12/2017, 432, STEPHEN MAWA, Hoima, Western Region - Hoima, WRIGHT ROAD
643, HealthCare Ltd, NDA/PRE/RTP/0261, Retail Pharmacy, 19/12/2017, 672, BONIFACE MATUA, Lira, Northern Region - Lira, Ekwang Rd
644, Healthcare Ltd, NDA/PRE/RTP/1961, Retail Pharmacy, 06/04/2018, 1249, EMMANUEL OBUA, Gulu, Northern Region - Lira, Labwor Rd
645, HEALTHCARE LTD, NDA/PRE/WHP/0262, Wholesale Pharmacy, 13/01/2018, 672, BONIFACE MATUA, Lira, Northern Region - Lira, Ekwang Rd
646, Healthcare Ltd, NDA/PRE/WHP/1960, Wholesale Pharmacy, 06/04/2018, 1249, EMMANUEL OBUA, Gulu, Northern Region - Lira, Labwor Rd
647, HEALTHCARE LTD., NDA/PRE/WHP/0317, Wholesale Pharmacy, 14/11/2017, 246, Mumtaz Ahmad, KAMPALA, Central Region - Nakawa, Kampala Rd
648, Healthcare Pharmacy - Mbale, NDA/PRE/RTP/2042, Retail Pharmacy, 04/04/2018, 1203, IDRINE KALINGE, MBALE, Eastern Region - Tororo, Naboa Rd
